initial state:
1 | B 
2 | C E 
3 | A D 

it= 568 , queue= 1031 , depth=  6
it= 569 , queue= 1032 , depth=  6
it= 570 , queue= 1033 , depth=  6
it= 571 , queue= 1035 , depth=  6
it= 572 , queue= 1036 , depth=  6
it= 573 , queue= 1036 , depth=  6
it= 574 , queue= 1036 , depth=  6
it= 575 , queue= 1036 , depth=  6
it= 576 , queue= 1037 , depth=  6
it= 577 , queue= 1037 , depth=  6
it= 578 , queue= 1038 , depth=  6
it= 579 , queue= 1039 , depth=  6
it= 580 , queue= 1041 , depth=  6
it= 581 , queue= 1045 , depth=  6
it= 582 , queue= 1045 , depth=  6
it= 583 , queue= 1045 , depth=  6
it= 584 , queue= 1045 , depth=  6
it= 585 , queue= 1045 , depth=  6
it= 586 , queue= 1045 , depth=  6
it= 587 , queue= 1045 , depth=  6
it= 588 , queue= 1045 , depth=  6
it= 589 , queue= 1046 , depth=  6
it= 590 , queue= 1047 , depth=  6
it= 591 , queue= 1048 , depth=  6
it= 592 , queue= 1049 , depth=  6
it= 593 , queue= 1049 , depth=  6
it= 594 , queue= 1049 , depth=  6
it= 595 , queue= 1050 , depth=  6
it= 596 , queue= 1050 , depth=  6
it= 597 , queue= 1052 , depth=  6
it= 598 , queue= 1052 , depth=  6
it= 599 , queue= 1054 , depth=  6
it= 600 , queue= 1056 , depth=  6
it= 601 , queue= 1058 , depth=  6
it= 602 , queue= 1060 , depth=  6
it= 603 , queue= 1063 , depth=  6
it= 604 , queue= 1065 , depth=  6
it= 605 , queue= 1067 , depth=  6
it= 606 , queue= 1069 , depth=  6
it= 607 , queue= 1071 , depth=  6
it= 608 , queue= 1073 , depth=  6
it= 609 , queue= 1075 , depth=  6
it= 610 , queue= 1077 , depth=  6
it= 611 , queue= 1077 , depth=  6
it= 612 , queue= 1079 , depth=  6
it= 613 , queue= 1079 , depth=  6
it= 614 , queue= 1081 , depth=  6
it= 615 , queue= 1083 , depth=  6
it= 616 , queue= 1086 , depth=  6
it= 617 , queue= 1089 , depth=  6
it= 618 , queue= 1093 , depth=  6
it= 619 , queue= 1093 , depth=  6
it= 620 , queue= 1093 , depth=  6
it= 621 , queue= 1093 , depth=  6
it= 622 , queue= 1093 , depth=  6
it= 623 , queue= 1094 , depth=  6
it= 624 , queue= 1095 , depth=  6
it= 625 , queue= 1097 , depth=  6
it= 626 , queue= 1099 , depth=  6
it= 627 , queue= 1099 , depth=  6
it= 628 , queue= 1099 , depth=  6
it= 629 , queue= 1099 , depth=  6
it= 630 , queue= 1099 , depth=  6
it= 631 , queue= 1099 , depth=  6
it= 632 , queue= 1100 , depth=  6
it= 633 , queue= 1100 , depth=  6
it= 634 , queue= 1101 , depth=  6
it= 635 , queue= 1101 , depth=  6
it= 636 , queue= 1102 , depth=  6
it= 637 , queue= 1102 , depth=  6
it= 638 , queue= 1104 , depth=  6
it= 639 , queue= 1104 , depth=  6
it= 640 , queue= 1106 , depth=  6
it= 641 , queue= 1108 , depth=  6
it= 642 , queue= 1109 , depth=  6
it= 643 , queue= 1111 , depth=  6
it= 644 , queue= 1113 , depth=  6
it= 645 , queue= 1115 , depth=  6
it= 646 , queue= 1117 , depth=  7
it= 647 , queue= 1119 , depth=  7
it= 648 , queue= 1121 , depth=  7
it= 649 , queue= 1121 , depth=  7
it= 650 , queue= 1122 , depth=  7
it= 651 , queue= 1124 , depth=  7
it= 652 , queue= 1125 , depth=  7
it= 653 , queue= 1125 , depth=  7
it= 654 , queue= 1127 , depth=  7
it= 655 , queue= 1127 , depth=  7
it= 656 , queue= 1127 , depth=  7
it= 657 , queue= 1128 , depth=  7
it= 658 , queue= 1128 , depth=  7
it= 659 , queue= 1129 , depth=  7
it= 660 , queue= 1130 , depth=  7
it= 661 , queue= 1130 , depth=  7
it= 662 , queue= 1130 , depth=  7
it= 663 , queue= 1130 , depth=  7
it= 664 , queue= 1132 , depth=  7
it= 665 , queue= 1134 , depth=  7
it= 666 , queue= 1136 , depth=  7
it= 667 , queue= 1136 , depth=  7
it= 668 , queue= 1136 , depth=  7
it= 669 , queue= 1137 , depth=  7
it= 670 , queue= 1137 , depth=  7
it= 671 , queue= 1139 , depth=  7
it= 672 , queue= 1139 , depth=  7
it= 673 , queue= 1141 , depth=  7
it= 674 , queue= 1141 , depth=  7
it= 675 , queue= 1141 , depth=  7
it= 676 , queue= 1143 , depth=  7
it= 677 , queue= 1145 , depth=  7
it= 678 , queue= 1145 , depth=  7
it= 679 , queue= 1147 , depth=  7
it= 680 , queue= 1149 , depth=  7
it= 681 , queue= 1149 , depth=  7
it= 682 , queue= 1151 , depth=  7
it= 683 , queue= 1153 , depth=  7
it= 684 , queue= 1153 , depth=  7
it= 685 , queue= 1154 , depth=  7
it= 686 , queue= 1154 , depth=  7
it= 687 , queue= 1155 , depth=  7
it= 688 , queue= 1155 , depth=  7
it= 689 , queue= 1155 , depth=  7
it= 690 , queue= 1157 , depth=  7
it= 691 , queue= 1157 , depth=  7
it= 692 , queue= 1157 , depth=  7
it= 693 , queue= 1158 , depth=  7
it= 694 , queue= 1158 , depth=  7
it= 695 , queue= 1158 , depth=  7
it= 696 , queue= 1160 , depth=  7
it= 697 , queue= 1162 , depth=  7
it= 698 , queue= 1163 , depth=  7
it= 699 , queue= 1164 , depth=  7
it= 700 , queue= 1165 , depth=  7
it= 701 , queue= 1166 , depth=  7
it= 702 , queue= 1168 , depth=  7
it= 703 , queue= 1170 , depth=  7
it= 704 , queue= 1172 , depth=  7
it= 705 , queue= 1174 , depth=  7
it= 706 , queue= 1174 , depth=  7
it= 707 , queue= 1177 , depth=  7
it= 708 , queue= 1179 , depth=  7
it= 709 , queue= 1181 , depth=  7
it= 710 , queue= 1183 , depth=  7
it= 711 , queue= 1185 , depth=  7
it= 712 , queue= 1185 , depth=  7
it= 713 , queue= 1185 , depth=  7
it= 714 , queue= 1187 , depth=  7
it= 715 , queue= 1188 , depth=  7
it= 716 , queue= 1188 , depth=  7
it= 717 , queue= 1190 , depth=  7
it= 718 , queue= 1190 , depth=  7
it= 719 , queue= 1192 , depth=  7
it= 720 , queue= 1194 , depth=  7
it= 721 , queue= 1196 , depth=  7
