initial state:
1 | B 
2 | C E 
3 | A D 

it= 323 , queue= 286 , f=g+h= 10 , depth=  5
it= 324 , queue= 287 , f=g+h= 10 , depth=  5
it= 325 , queue= 290 , f=g+h= 10 , depth=  5
it= 326 , queue= 291 , f=g+h= 10 , depth=  5
it= 327 , queue= 292 , f=g+h= 10 , depth=  5
it= 328 , queue= 293 , f=g+h= 10 , depth=  5
it= 329 , queue= 294 , f=g+h= 10 , depth=  5
it= 330 , queue= 295 , f=g+h= 10 , depth=  5
it= 331 , queue= 296 , f=g+h= 10 , depth=  5
it= 332 , queue= 297 , f=g+h= 10 , depth=  5
it= 333 , queue= 298 , f=g+h= 10 , depth=  5
it= 334 , queue= 299 , f=g+h= 10 , depth=  5
it= 335 , queue= 301 , f=g+h= 10 , depth=  5
it= 336 , queue= 302 , f=g+h= 10 , depth=  5
it= 337 , queue= 301 , f=g+h= 10 , depth=  5
it= 338 , queue= 301 , f=g+h= 10 , depth=  5
it= 339 , queue= 300 , f=g+h= 10 , depth=  5
it= 340 , queue= 301 , f=g+h= 10 , depth=  5
it= 341 , queue= 301 , f=g+h= 10 , depth=  5
it= 342 , queue= 301 , f=g+h= 10 , depth=  5
it= 343 , queue= 300 , f=g+h= 10 , depth=  5
it= 344 , queue= 299 , f=g+h= 10 , depth=  5
it= 345 , queue= 299 , f=g+h= 10 , depth=  5
it= 346 , queue= 302 , f=g+h= 10 , depth=  5
it= 347 , queue= 303 , f=g+h= 10 , depth=  5
it= 348 , queue= 302 , f=g+h= 10 , depth=  5
it= 349 , queue= 303 , f=g+h= 10 , depth=  5
it= 350 , queue= 304 , f=g+h= 10 , depth=  5
it= 351 , queue= 304 , f=g+h= 10 , depth=  5
it= 352 , queue= 303 , f=g+h= 10 , depth=  5
it= 353 , queue= 304 , f=g+h= 10 , depth=  5
it= 354 , queue= 305 , f=g+h= 10 , depth=  5
it= 355 , queue= 308 , f=g+h= 10 , depth=  5
it= 356 , queue= 307 , f=g+h= 10 , depth=  5
it= 357 , queue= 308 , f=g+h= 10 , depth=  5
it= 358 , queue= 309 , f=g+h= 10 , depth=  5
it= 359 , queue= 308 , f=g+h= 10 , depth=  5
it= 360 , queue= 307 , f=g+h= 10 , depth=  5
it= 361 , queue= 308 , f=g+h= 10 , depth=  5
it= 362 , queue= 309 , f=g+h= 10 , depth=  5
it= 363 , queue= 310 , f=g+h= 10 , depth=  5
it= 364 , queue= 311 , f=g+h= 10 , depth=  5
it= 365 , queue= 312 , f=g+h= 10 , depth=  5
it= 366 , queue= 313 , f=g+h= 10 , depth=  5
it= 367 , queue= 316 , f=g+h= 10 , depth=  5
it= 368 , queue= 317 , f=g+h= 10 , depth=  5
it= 369 , queue= 318 , f=g+h= 10 , depth=  6
it= 370 , queue= 317 , f=g+h= 10 , depth=  6
it= 371 , queue= 318 , f=g+h= 10 , depth=  6
it= 372 , queue= 319 , f=g+h= 10 , depth=  6
it= 373 , queue= 320 , f=g+h= 10 , depth=  6
it= 374 , queue= 319 , f=g+h= 10 , depth=  6
it= 375 , queue= 319 , f=g+h= 10 , depth=  6
it= 376 , queue= 320 , f=g+h= 10 , depth=  6
it= 377 , queue= 321 , f=g+h= 10 , depth=  6
it= 378 , queue= 320 , f=g+h= 10 , depth=  6
it= 379 , queue= 321 , f=g+h= 10 , depth=  6
it= 380 , queue= 324 , f=g+h= 10 , depth=  6
it= 381 , queue= 325 , f=g+h= 10 , depth=  6
it= 382 , queue= 326 , f=g+h= 10 , depth=  6
it= 383 , queue= 327 , f=g+h= 10 , depth=  6
it= 384 , queue= 330 , f=g+h= 10 , depth=  6
it= 385 , queue= 333 , f=g+h= 10 , depth=  6
it= 386 , queue= 336 , f=g+h= 10 , depth=  6
it= 387 , queue= 339 , f=g+h= 10 , depth=  6
it= 388 , queue= 340 , f=g+h= 10 , depth=  6
it= 389 , queue= 339 , f=g+h= 10 , depth=  6
it= 390 , queue= 340 , f=g+h= 10 , depth=  6
it= 391 , queue= 341 , f=g+h= 10 , depth=  6
it= 392 , queue= 340 , f=g+h= 10 , depth=  6
